ID,English,Chinese_Simplified,French,German,Italian,Polish,Portuguese_Brazil,Russian,Spanish
Tile_building_rubble_Title,Building Rubble,Building Rubble,Gravats de bâtiments,Gebäudeschutt,빌딩 잔해,Ruiny,Estrutura (Ruínas),Обломки здания,Escombros de edificios
Tile_building_rubble_Text,No special effect.,No special effect.,Aucun effet spécial.,Kein besonderer Effekt.,효과 없음,Brak specjalnych właściwości.,Nenhum efeito especial.,Особые эффекты отсутствуют.,Sin efecto especial.
Tile_water_Title,Water Tile,Water Tile,Case d'eau,Wasserfeld,물 타일,Woda,Espaço: Água,Клетка с водой,Casilla de agua
Tile_water_Text,Units cannot attack in Water. Most non-flying enemies die in Water.,Units cannot attack in Water. Most non-flying enemies die in Water.,Les unités sont incapables d'attaquer dans l'eau. La plupart des ennemis non volants meurent dans l'eau.,Einheiten im Wasser können nicht angreifen. Die meisten nicht flugfähigen Gegner sterben im Wasser.,Units cannot attack in Water. Most non-flying enemies die in Water.,Jednostki w wodzie nie mogą atakować. Większość jednostek lądowych ginie w wodzie.,"Unidades na Água não atacam e, se não forem voadoras, podem morrer.","Находящиеся в воде юниты не могут атаковать. Большинство нелетающих врагов, попавших в воду, погибает.",Las unidades no pueden atacar en el agua. Casi todos los enemigos no voladores morirán en el agua.
Tile_lightning_Title,Lightning Strike,Lightning Strike,Case de foudre,Blitzschlag,번개,Błyskawica,Relâmpago,Удар молнии,Caída de rayo
Tile_lightning_Text,"Lightning will strike here, killing any unit.","Lightning will strike here, killing any unit.","La foudre s'abat à cet endroit, ce qui tue toutes les unités.",Hier schlägt der Blitz ein und tötet jede dortige Einheit.,"Lightning will strike here, killing any unit.","W to pole uderzy błyskawica, która zabije każdą jednostkę.",Relâmpagos cairão aqui e matarão qualquer unidade.,"В эту точку ударит молния, попадания которой не переживет ни один юнит.",Aquí caerá un rayo que matará a cualquier unidad.
Tile_acid_water_Title,A.C.I.D. Tile,A.C.I.D. Tile,Case d'A.C.I.D.E.,A.C.I.D.U.M.-Feld,A.C.I.D. 타일,K.W.A.S.,Espaço: A.C.I.D.,Клетка с кислотой,Casilla de A.C.I.D.O.
Tile_acid_water_Text,"Behaves like Water, but inflicts A.C.I.D. on surviving units.","Behaves like Water, but inflicts A.C.I.D. on surviving units.","Se comporte comme une case d'eau, tout en infligeant des dégâts d'A.C.I.D.E. aux unités survivantes.","Verhält sich wie Wasser, wirkt jedoch A.C.I.D.U.M. auf überlebende Einheiten.","Behaves like Water, but inflicts A.C.I.D. on surviving units.","Ma działanie zbliżone do wody, ale pokrywa K.W.A.S-em jednostki, które nie zginą.","Semelhante à Água, mas aplica A.C.I.D nas unidades vivas.","Действует аналогично воде, но выжившие получают эффект «Кислота».","Funciona como el agua, pero inflige A.C.I.D.O. a las unidades que sobrevivan."
Tile_ground_Title,Ground Tile,Ground Tile,Case de sol,Bodenfeld,대지 타일,Grunt,Espaço: Chão,Клетка земли,Casilla de tierra
Tile_ground_Text,No special effect.,No special effect.,Aucun effet spécial.,Kein besonderer Effekt.,효과 없음,Brak specjalnych właściwości.,Nenhum efeito especial.,Особые эффекты отсутствуют.,Sin efecto especial.
Tile_mnt_rubble_Title,Mountain Rubble,Mountain Rubble,Gravats de montagne,Felsbrocken,산 잔해,Rumowisko,Montanha (Ruínas),Обломки горы,Escombros de montañas
Tile_mnt_rubble_Text,No special effect.,No special effect.,Aucun effet spécial.,Kein besonderer Effekt.,효과 없음,Brak specjalnych właściwości.,Nenhum efeito especial.,Особые эффекты отсутствуют.,Sin efecto especial.
Tile_powered_Title,Civilian Building,Civilian Building,Bâtiment civil,Zivilgebäude,민간 빌딩,Budynek cywilny,Prédio,Гражданское здание,Edificio civil
Tile_powered_Text,Your Power Grid is reduced when Grid Structures are damaged.,Your Power Grid is reduced when Grid Structures are damaged.,Votre puissance Réseau diminue quand des structures de votre Réseau sont endommagées.,"Dein Energienetz wird geschwächt, wenn Netzgebäude beschädigt werden.",Your Power Grid is reduced when Grid Structures are damaged.,"Gdy budynki cywilne zostają uszkodzone, spada Zasilanie.",Sua Rede de Energia diminui quando Estruturas da Rede sofrem dano.,"Уровень энергосети снижается, когда здания инфраструктуры получают урон.",La red eléctrica se ve reducida cuando las estructuras de la red sufren daño.
Tile_ftl_pod_Title,Strange Pod,Strange Pod,Étrange capsule,Seltsame Kapsel,특이한 포드,Dziwna kapsuła,Cápsula Estranha,Странная капсула,Cápsula extraña
Tile_ftl_pod_Text,"Destroyed if damaged or trampled by the enemy. Collect with a Mech, or defend until Vek retreat.","Destroyed if damaged or trampled by the enemy. Collect with a Mech, or defend until Vek retreat.",Détruite si elle est endommagée ou écrasée par l'ennemi. Récupérez-la à l'aide d'un Mecha ou défendez-la jusqu'à ce que les Veks se replient.,"Wird zerstört, wenn sie von einem Gegner beschädigt oder zertreten wird. Sammle sie mit einem Mech ein oder verteidige sie, bis die Vek sich zurückziehen.","Destroyed if damaged or trampled by the enemy. Collect with a Mech, or defend until Vek retreat.","Ulega zniszczeniu, gdy wróg ją zaatakuje lub zajmie to pole. Zbierz ją mechem lub obroń do czasu wycofania veków.",Destruída quando sofre dano ou é pisoteada por inimigos. Pegue com um Meka ou defenda até os Vek fugirem.,"Будет уничтожена, если получит урон или вступит в контакт с противником. Захватите ее с помощью меха или защищайте до отступления векков.",Se destruye si sufre daño o la pisotea un enemigo. Recógela con un mech o defiéndela hasta que los vek se retiren.
Tile_supervolcano_Title,Super Volcano,Super Volcano,Super-volcan,Supervulkan,초화산,Superwulkan,Supervulcão,Супервулкан,Supervolcán
Tile_supervolcano_Text,Indestructible volcano that blocks movement and projectiles.,Indestructible volcano that blocks movement and projectiles.,Volcan indestructible qui bloque les déplacements et les projectiles.,"Ein unzerstörbarer Vulkan, der sowohl Bewegung als auch Geschosse blockiert.",Indestructible volcano that blocks movement and projectiles.,"Niezniszczalny wulkan, który blokuje ruch i pociski.",Vulcão indestrutível que bloqueia movimentos e projéteis.,"Неразрушимый вулкан, блокирующий проход и стрельбу.",Un volcán indestructible que bloquea el movimiento y los proyectiles.
Tile_emerging_Title,Vek Emerging,Vek Emerging,Vek émergeant,Auftauchender Vek,Vek 출현 중,Vek pod ziemią,Vek Emergindo,Появление векка,Vek emergiendo
Tile_emerging_Text,Enemy emerging next turn. Can be blocked.,Enemy emerging next turn. Can be blocked.,Un ennemi va émerger à cet endroit au prochain tour. Il est possible de le bloquer.,Nächste Runde taucht hier ein Gegner auf. Kann geblockt werden.,Enemy emerging next turn. Can be blocked.,Na tym polu w kolejnej turze pojawi się wróg. Można go zablokować.,Inimigo surge no próx. turno. Pode ser bloqueado.,На следующем ходу здесь появится векк. Можно заблокировать.,Un enemigo emergerá el próximo turno. Puede bloquearse.
Tile_frozen_powered_Title,Frozen Building,Frozen Building,Bâtiment gelé,Eingefrorenes Gebäude,얼어붙은 빌딩,Zamrożony budynek,Estrutura Congelada,Замороженное здание,Edificio congelado
Tile_frozen_powered_Text,Invincible while Frozen. Any damage will destroy the ice.,Invincible while Frozen. Any damage will destroy the ice.,Indestructible tant qu'il est gelé. Les dégâts qu'il subit détruisent la glace.,Unverwundbar im eingefrorenen Zustand. Jeder Schaden zerstört das Eis.,Invincible while Frozen. Any damage will destroy the ice.,"Gdy budynek jest zamrożony, pozostaje niezniszczalny. Dowolny atak zniszczy lód.",Invencível quando Congelada. Qualquer dano destrói o gelo.,"Неуязвимо, пока действует заморозка. Любой урон уничтожит лед.",Invulnerable mientras dure la congelación. Cualquier daño destruirá el hielo.
Tile_critical_Title,Critical,Critical,Critique,Kritisch,중요,Kluczowe pole,Essencial,Важный объект,Esencial
Tile_critical_Text,This building is important to mission objectives.,This building is important to mission objectives.,Ce bâtiment est important pour accomplir les objectifs de mission.,Dieses Gebäude ist zur Erfüllung von Missionszielen wichtig.,This building is important to mission objectives.,"Ta budowla jest kluczowa, aby wypełnić zadania.",Esta estrutura é importante aos objetivos da missão.,Это здание важно для успеха задания.,Este edificio es importante para los objetivos de misión.
Tile_tele_Title,Teleporter Pad,Teleporter Pad,Dalle de téléportation,Teleportfeld,텔레포터 패드,Platforma teleportera,Teletransporte,Площадка телепорта,Base de teletransportador
Tile_tele_Text,End movement here to warp to the matching pad. Swap with any present unit.,End movement here to warp to the matching pad. Swap with any present unit.,"Finissez votre déplacement à cet endroit pour être téléporté à la dalle correspondante. Si une autre unité s'y trouve, vous échangez vos places.","Beende deine Bewegung hier, um zum dazugehörigen Teleportfeld zu teleportieren. Du tauschst Platz mit jeder beliebigen dort anwesenden Einheit.",End movement here to warp to the matching pad. Swap with any present unit.,"Zakończ tutaj ruch, aby przeteleportować jednostkę. Jeśli na docelowej platformie stoi inna, zamienią się miejscami.",Encerre o movimento aqui para ir ao outro espaço equivalente. Troque com qualquer unidade de lá.,"Закончите движение здесь, чтобы перенестись на другую площадку. Если та занята, то произойдет обмен местами.",Termina aquí el movimiento para ir a la base homóloga. Se intercambiarán posiciones con cualquier unidad que esté allí.
Tile_pylon_Title,Power Pylon,Power Pylon,Pylône d'énergie,Energiepylon,전력 공급원,Pylon zasilania,Pilar de Energia,Энергопилон,Torre eléctrica
Tile_pylon_Text,Remote Power Pylons connect your Mechs to the Grid even underground. Not populated.,Remote Power Pylons connect your Mechs to the Grid even underground. Not populated.,Les pylônes d'énergie à distance relient vos Mecha au Réseau même lorsque vous êtes sous terre. Non peuplés.,Ferngesteuerte Energiepylonen verbinden deinen Mech mit dem Energienetz – auch unterirdisch. Nicht bewohnt.,Remote Power Pylons connect your Mechs to the Grid even underground. Not populated.,Pylony zdalnego zasilania utrzymują połączenie mechów z Siecią nawet pod ziemią. Nieobsadzone ludźmi.,"Pilares de Energia remotos que conectam Mekas à Rede, até no subsolo. Não são habitados.",Энергопилоны соединяют ваших мехов с энергосетью даже под землей. Необитаем.,Torres eléctricas remotas conectan tus mechs a la red incluso bajo tierra. No están habitadas.
Tile_ice_Title,Ice Tile,Ice Tile,Case de glace,Eisfeld,얼음 타일,Lód,Espaço: Gelo,Клетка со льдом,Casilla de hielo
Tile_ice_Text,Turns into Water when destroyed. Must be hit twice.,Turns into Water when destroyed. Must be hit twice.,Se transforme en eau quand elle est détruite (ce qui se produit quand elle est touchée deux fois).,"Wird zu einem Wasserfeld, wenn es zerstört wird. Muss zweimal getroffen werden.",Turns into Water when destroyed. Must be hit twice.,"Gdy ulega zniszczeniu, zamienia się w wodę. Wymaga to dwóch uderzeń.",Torna-se Água ao sofrer 2 ataques.,При уничтожении превратится в воду. Требуется два попадания.,Se convierte en agua al destruirse. Hay que darle dos veces.
Tile_high_tide_Title,High Tide,High Tide,Marée haute,Flut,거대한 파도,Wysoka fala,Maré Alta,Прилив,Marea viva
Tile_high_tide_Text,This tile will become Water at the start of the enemy turn.,This tile will become Water at the start of the enemy turn.,Cette case se transforme en eau au début du tour de l'ennemi.,Dieses Feld wird zu Beginn der gegnerischen Runde zu Wasser.,This tile will become Water at the start of the enemy turn.,To pole zaleje woda na początku tury wroga.,Este espaço se tornará Água no início do turno inimigo.,Эта клетка станет водной в начале вражеского хода.,Esta casilla pasará a ser de agua al principio del turno enemigo.
Tile_forest_fire_Title,Forest Fire,Forest Fire,Incendie de forêt,Waldbrand,Forest Fire,Pożar lasu,Incêndio Florestal,Лесной пожар,Incendio forestal
Tile_forest_fire_Text,Lights units on Fire. This fire was started when a Forest Tile was damaged.,Lights units on Fire. This fire was started when a Forest Tile was damaged.,Met le feu aux unités. Cet incendie a démarré quand une case de forêt a été endommagée.,"Steckt Einheiten in Brand. Dieses Feuer wurde entfacht, als ein Waldfeld beschädigt wurde.",Lights units on Fire. This fire was started when a Forest Tile was damaged.,"Podpala jednostki. Pożar wybucha, gdy pole pokryte lasem staje się celem ataku.",Incendeia unidades. Este incêndio começou devido ao dano num espaço de Floresta.,"Поджигает юниты. Пожар начался, когда клетка с лесом получила урон.",Prende fuego a las unidades. El incendio se inició al hacer daño a una casilla de bosque.
Tile_seismic_Title,Seismic Activity,Seismic Activity,Activité sismique,Seismische Aktivität,Seismic Activity,Aktywność sejsmiczna,Atividade Sísmica,Сейсмическая активность,Actividad sísmica
Tile_seismic_Text,This tile will become a Chasm at the start of the enemy turn.,This tile will become a Chasm at the start of the enemy turn.,Cette case se transforme en gouffre au début du tour de l'ennemi.,Dieses Feld verwandelt sich zu Beginn der gegnerischen Runde in einen Abgrund.,This tile will become a Chasm at the start of the enemy turn.,To pole zapadnie się na początku tury wroga.,Este espaço se tornará um Abismo no início do turno inimigo.,Эта клетка станет пропастью в начале вражеского хода.,Esta casilla se convertirá en un abismo al principio del turno enemigo.
Tile_chasm_Title,Chasm Tile,Chasm Tile,Case de gouffre,Abgrundfeld,Chasm Tile,Przepaść,Espaço: Abismo,Пропасть,Casilla de abismo
Tile_chasm_Text,Ground units pushed in will be \ndestroyed.,Ground units pushed in will be \ndestroyed.,Les unités au sol poussées dans un gouffre \nsont détruites.,Auf dieses Feld geschobene Bodeneinheiten\nwerden zerstört.,Ground units pushed in will be \ndestroyed.,Zepchnięte w nią jednostki lądowe \nulegną zniszczeniu.,Unidades terrestres empurradas aqui\nserão destruídas.,Попавшие сюда нелетающие юниты\nбудут уничтожены.,Las unidades terrestres que se empujen aquí serán\ndestruidas.
Tile_supply_drop_Title,Supply Drop,Supply Drop,Largage de provisions,Nachschubabwurf,Supply Drop,Zrzut zaopatrzenia,Suprimentos,Снабжение,Entrega de suministros
Tile_supply_drop_Text,Collect this with a Mech to heal ALL friendly units and restore ALL limited use weapons.,Collect this with a Mech to heal ALL friendly units and restore ALL limited use weapons.,Récupérez les provisions à l'aide d'un Mecha pour soigner TOUTES les unités alliées et pouvoir réutiliser TOUTES vos armes à usage limité.,"Sammle diesen Nachschub mit einem Mech ein, um ALLE verbündeten Einheiten zu heilen und ALLE begrenzt benutzbaren Waffen wieder einsatzbereit zu machen.",Collect this with a Mech to heal ALL friendly units and restore ALL limited use weapons.,"Zbierz go mechem, aby uleczyć wszystkich sojuszników i odnowić uzbrojenie o ograniczonym użyciu.",Colete isto com um Meka para curar TODOS os aliados e reabastecer TODAS as armas de uso limitado.,"Подберите контейнер с помощью меха, чтобы отремонтировать ВСЕХ союзников и перезарядить ВСЕ оружие ограниченного применения.",Recógela con un mech para curar a todas las unidades aliadas y recuperar todas las armas de uso limitado.
Tile_pod_Title,Time Pod,Time Pod,Capsule temporelle,Zeitkapsel,타임 포드,Chronokapsuła,Cápsula do Tempo,Темпоральная капсула,Cápsula temporal
Tile_pod_Text,"Destroyed if damaged or trampled by the enemy. Collect with a Mech, or defend until Vek retreat.","Destroyed if damaged or trampled by the enemy. Collect with a Mech, or defend until Vek retreat.",Détruite si elle est endommagée ou écrasée par l'ennemi. Récupérez-la à l'aide d'un Mecha ou défendez-la jusqu'à ce que les Veks se replient.,"Wird zerstört, wenn sie von einem Gegner beschädigt oder zertreten wird. Sammle sie mit einem Mech ein oder verteidige sie, bis die Vek sich zurückziehen.","Destroyed if damaged or trampled by the enemy. Collect with a Mech, or defend until Vek retreat.","Ulega zniszczeniu, gdy wróg ją zaatakuje lub zajmie to pole. Zbierz ją mechem lub obroń do czasu wycofania veków.",Destruída quando sofre dano ou é pisoteada por inimigos. Pegue com um Meka ou defenda até os Vek fugirem.,"Будет уничтожена, если получит урон или вступит в контакт с противником. Захватите ее с помощью меха или защищайте до отступления векков.",Se destruye si sufre daño o la pisotea un enemigo. Recógela con un mech o defiéndela hasta que los vek se retiren.
Tile_stasis_Title,Stasis Bot,Stasis Bot,Robot de stase,Stasisbot,Stasis Bot,Stazobot,Bot-Estase,Стазис-бот,Bot en estasis
Tile_stasis_Text,This bot will power up and enter the fight if its Shield is damaged.,This bot will power up and enter the fight if its Shield is damaged.,Ce robot s'allume et prend part au combat si son bouclier est endommagé.,"Dieser Bot wird aktiviert und greift in den Kampf ein, sobald sein Schild beschädigt wird.",This bot will power up and enter the fight if its Shield is damaged.,"Ten bot uaktywni się i dołączy do walki, gdy uszkodzi się jego osłonę.",Este bot se energizará e entrará na luta ao sofrer dano no Escudo.,"Бот активируется и вступит в бой, если его щит будет поврежден.",Este bot se activará y entrará en combate si se daña su escudo.
Tile_terraformed_Title,Terraformed,Terraformed,Terraformée,Terraformfeld,테라포밍됨,Przekształcone,Terraformado,Терраформирование,Terraformada
Tile_terraformed_Text,This tile was terraformed as part of your bonus objective.,This tile was terraformed as part of your bonus objective.,Cette case a été terraformée dans le cadre de votre objectif bonus.,Dieses Feld wurde im Rahmen deines Bonusziels terraformiert.,This tile was terraformed as part of your bonus objective.,To pole zostało przekształcone w ramach realizacji zadania dodatkowego.,"Este espaço foi terraformado, e isto ajuda seu objetivo bônus.",Эта клетка была терраформирована в рамках дополнительной задачи.,Esta casilla se terraformó como parte del objetivo de bonificación.
Tile_evacuated_Title,Evacuated Building,Evacuated Building,Bâtiment évacué,Evakuiertes Gebäude,비어있는 빌딩,Ewakuowany budynek,Estrutura Evacuada,Эвакуированное здание,Edificio evacuado
Tile_evacuated_Text,No effect when damaged.,No effect when damaged.,Aucun effet quand il est endommagé.,Kein Effekt bei Beschädigung.,No effect when damaged.,Uszkodzenia nie wywołują efektów ubocznych.,Sem efeito quando está danificada.,Может быть повреждено без негативного эффекта.,No hay efecto si sufre daño.
Tile_ice_storm_Title,Ice Storm,Ice Storm,Blizzard,Eissturm,얼음 폭풍,Zamieć,Nevasca,Ледяная буря,Tormenta de nieve
Tile_ice_storm_Text,The storm causes anything present to become Frozen.,The storm causes anything present to become Frozen.,Le blizzard gèle tout.,Der Sturm friert alles ein.,The storm causes anything present to become Frozen.,"Zamieć zamraża wszystko, co znajduje się na danym polu.",Esta nevasca congela tudo o que atinge.,"Замораживает всех, кто попадает в зону бури.",La tormenta congelará todo lo que alcance.
Tile_flying_rock_Title,Volcanic Projectile,Volcanic Projectile,Projectile volcanique,Vulkangeschoss,Volcanic Projectile,Pocisk wulkaniczny,Projétil Vulcânico,Извержение вулкана,Bomba volcánica
Tile_flying_rock_Text,"A fireball will strike here, destroying anything present.","A fireball will strike here, destroying anything present.","Une boule de feu frappe cet endroit, détruisant tout ce qui s'y trouve.","Dieses Feld wird von einem Feuerball getroffen, der dort alles zerstört.","A fireball will strike here, destroying anything present.","Ognista kula uderzy w to pole i zniszczy wszystko, co się na nim znajduje.",Uma bola de fogo cairá e destruirá o que estiver aqui.,"Сюда попадет огненный шар, уничтожив все, что окажется на клетке.",Aquí va a caer un proyectil ardiente que lo destruirá todo.
Tile_lava_Title,Lava Tile,Lava Tile,Case de lave,Lavafeld,용암 타일,Lawa,Espaço: Lava,Клетка с лавой,Casilla de lava
Tile_lava_Text,"Behaves like Water, but inflicts Fire on surviving units.","Behaves like Water, but inflicts Fire on surviving units.","Se comporte comme une case d'eau, tout en infligeant des dégâts de feu aux unités survivantes.","Verhält sich wie Wasser, steckt jedoch überlebende Einheiten in Brand.","Behaves like Water, but inflicts Fire on surviving units.","Ma działanie zbliżone do wody, ale podpala jednostki, które nie zginą.","Semelhante à Água, mas aplica Fogo nas unidades vivas.","Действует аналогично воде, но выжившие получают эффект «Пожар».","Funciona como el agua, pero inflige fuego a las unidades que sobrevivan."
Tile_volcano_lava_Title,Lava Flow,Lava Flow,Coulée de lave,Lavastrom,Lava Flow,Strumień lawy,Fluxo de Lava,Поток лавы,Río de lava
Tile_volcano_lava_Text,The tile here will turn into Lava.,The tile here will turn into Lava.,Cette case se transforme en lave.,Dieses Feld wird zu Lava.,The tile here will turn into Lava.,To pole zamieni się w lawę.,Este espaço se tornará Lava.,Эта клетка превратится в лаву.,Esta casilla se convertirá en lava.
Tile_tentacle_lava_Title,Tentacles,Tentacles,Tentacules,Tentakel,촉수,Macki,Tentáculos,Щупальца,Tentáculos
Tile_tentacle_lava_Text,The unit here will die and the tile will turn into Lava.,The unit here will die and the tile will turn into Lava.,L'unité qui se trouve ici meurt et la case se transforme en lave.,Die Einheit hier wird vernichtet und das Feld wird zu Lava.,The unit here will die and the tile will turn into Lava.,"Jednostka na tym polu zginie, a pole zamieni się w lawę.",A unidade aqui morrerá e o espaço se tornará Lava.,"Находящийся здесь юнит будет уничтожен, а клетка превратится в лаву.",Esta unidad morirá y la casilla se convertirá en lava.
Tile_falling_rock_Title,Falling Rock,Falling Rock,Chute de rocher,Fallender Felsbrocken,낙석,Spadający kamień,Rocha em Queda,Камнепад,Caída de roca
Tile_falling_rock_Text,"A rock will fall here, killing any unit.","A rock will fall here, killing any unit.","Un rocher tombe à cet endroit, ce qui tue toutes les unités.",Ein Felsbrocken schlägt auf diesem Feld auf und vernichtet jede Einheit.,"A rock will fall here, killing any unit.","Na to pole spadnie olbrzymi kamień, który zniszczy każdą obecną na nim jednostkę.",Uma rocha cairá aqui e matará qualquer unidade.,В эту точку упадет камень. Любой юнит будет уничтожен.,Aquí caerá una roca que matará a cualquier unidad.
Tile_evacuation_Title,Evacuating,Evacuating,Évacuation,Evakuierung,Evacuating,Ewakuacja,Evacuando,Идет эвакуация,Evacuación
Tile_evacuation_Text,This building will be evacuated \nnext turn.,This building will be evacuated \nnext turn.,Ce bâtiment sera évacué \nau prochain tour.,Dieses Gebäude wird nächste\nRunde evakuiert.,This building will be evacuated \nnext turn.,Ten budynek zostanie ewakuowany \nw następnej turze.,Esta estrutura será evacuada\nno próximo turno.,Это здание будет эвакуировано\nна следующем ходу.,Este edificio se evacuará\nel próximo turno.
Tile_ftl_button_Title,Strange Object,Strange Object,Étrange objet,Seltsames Objekt,Strange Object,Dziwny przedmiot,Objeto Estranho,Странный предмет,Objeto extraño
Tile_ftl_button_Text,You're not sure what this could be.,You're not sure what this could be.,Vous ne savez pas vraiment ce que vous avez devant les yeux.,"Du bist dir nicht sicher, was das sein könnte.",You're not sure what this could be.,"Nie wiesz, co to jest.",Não dá para saber o que é isso.,"Вы не в курсе, что это такое.",No tienes claro qué será.
Tile_acid_ice_Title,A.C.I.D. Ice,A.C.I.D. Ice,Glace A.C.I.D.E.,A.C.I.D.U.M.-Eis,A.C.I.D. Ice,Zamarznięty K.W.A.S.,Gelo A.C.I.D,Кислотный лед,Hielo A.C.I.D.O.
Tile_acid_ice_Text,"Turns into an A.C.I.D. tile when destroyed, but currently safe to stand on.","Turns into an A.C.I.D. tile when destroyed, but currently safe to stand on.","Se transforme en case d'A.C.I.D.E. quand on elle est détruite, mais en attendant, on peut marcher dessus sans risque.","Wird zu einem A.C.I.D.U.M.-Feld, wenn es zerstört wird, ist aber momentan noch sicher.","Turns into an A.C.I.D. tile when destroyed, but currently safe to stand on.","Gdy ulega zniszczeniu, zamienia się w K.W.A.S. Obecnie nieszkodliwy.","Torna-se A.C.I.D. quando destruído, mas por enquanto é seguro pisar aqui.","При уничтожении превратится в кислоту, но пока что тут можно стоять без опаски.","Se convierte en una casilla de A.C.I.D.O. al destruirlo, pero, por el momento, se puede estar sobre él sin problemas."
Tile_damaged_ice_Title,Damaged Ice Tile,Damaged Ice Tile,Case de glace endommagée,Beschädigtes Eisfeld,Damaged Ice Tile,Popękany lód,Espaço: Gelo Danificado,Поврежденная клетка со льдом,Casilla de hielo dañado
Tile_damaged_ice_Text,Turns into a Water tile when destroyed. One hit will destroy it.,Turns into a Water tile when destroyed. One hit will destroy it.,"Se transforme en case d'eau quand elle est détruite, ce qui nécessite juste un seul coup.","Wird zu einem Wasserfeld, wenn es zerstört wird. Ein Treffer zerstört es.",Turns into a Water tile when destroyed. One hit will destroy it.,"Gdy ulega zniszczeniu, zamienia się w wodę. Wystarczy jedno uderzenie.",Torna-se Água quando é destruído. Basta um ataque para destruir.,При уничтожении превратится в воду. Осталось одно попадание.,Se convierte en una casilla de agua al destruirlo. Un solo golpe lo destruirá.
Tile_air_strike_Title,Air Strike,Air Strike,Frappe aérienne,Luftschlag,Air Strike,Nalot,Bombardeio,Авиаудар,Ataque aéreo
